Price;ft2;Location;No. of Bedrooms
3300000;720;Burari;2
3000000;630;Burari;2
5400000;1080;Burari;3
4400000;900;Burari;3
3000000;630;Burari;2
4000000;774;Burari;2
2000000;517;Burari;2
3100000;675;Burari;2
3100000;675;Burari;2
4000000;900;Burari;3
5500000;1080;Burari;3
4600000;900;Burari;3
4700000;900;Burari;3
4600000;900;Burari;3
4600000;900;Burari;3
4500000;900;Burari;3
4300000;864;Burari;3
3500000;810;Burari;3
2200000;630;Burari;2
4500000;900;Burari;3
4500000;900;Burari;3
2600000;540;Burari;2
3800000;900;Burari;3
3000000;612;Burari;2
3000000;612;Burari;2
3000000;612;Burari;2
3000000;612;Burari;2
2900000;630;Burari;2
3100000;675;Burari;2
2900000;630;Burari;2
3100000;675;Burari;2
3100000;675;Burari;2
2200000;558;Burari;2
2200000;558;Burari;2
3100000;675;Burari;2
4000000;900;Burari;3
2200000;558;Burari;2
2200000;558;Burari;2
4500000;990;Burari;3
2200000;558;Burari;2
2200000;630;Burari;2
4500000;900;Burari;3
4500000;900;Burari;3
2200000;630;Burari;2
4500000;900;Burari;3
5500000;1080;Burari;4
6000000;1170;Burari;3
4500000;990;Burari;3
2400000;540;Burari;2
2650000;540;Burari;2
3000000;585;Burari;2
2700000;567;Burari;2
2700000;567;Burari;2
2400000;450;Burari;2
2000000;450;Burari;1
7000000;1200;Dwarka Mor;4
2000000;500;Dwarka Mor;1
7500000;1300;Dwarka Mor;4
7000000;1200;Dwarka Mor;4
5500000;1050;Dwarka Mor;3
4700000;875;Dwarka Mor;3
3200000;630;Dwarka Mor;2
3500000;800;Dwarka Mor;2
4000000;750;Dwarka Mor;2
3500000;700;Dwarka Mor;2
2800000;700;Dwarka Mor;2
4300000;850;Dwarka Mor;3
4100000;800;Dwarka Mor;3
4000000;850;Dwarka Mor;3
3500000;750;Dwarka Mor;3
2500000;600;Dwarka Mor;2
2500000;550;Dwarka Mor;2
2200000;550;Dwarka Mor;2
3200000;700;Dwarka Mor;3
7500000;1300;Dwarka Mor;4
7000000;1200;Dwarka Mor;4
5500000;1050;Dwarka Mor;3
2000000;500;Dwarka Mor;1
4700000;875;Dwarka Mor;3
3200000;630;Dwarka Mor;2
4000000;750;Dwarka Mor;2
3500000;700;Dwarka Mor;2
4300000;850;Dwarka Mor;3
4100000;800;Dwarka Mor;3
3500000;750;Dwarka Mor;3
2500000;550;Dwarka Mor;2
3600000;1050;Mundka;3
3600000;1050;Mundka;3
3600000;1050;Mundka;3
3600000;1050;Mundka;3
3600000;1050;Mundka;3
2700000;756;Mundka;2
3800000;765;Mundka;2
3800000;720;Mundka;2
3800000;720;Mundka;2
4000000;720;Mundka;2
3900000;720;Mundka;2
4000000;720;Mundka;2
3800000;720;Mundka;2
4000000;720;Mundka;2
4000000;765;Mundka;2
3800000;765;Mundka;2
3600000;765;Mundka;2
3500000;765;Mundka;2
3500000;765;Mundka;2
4000000;765;Mundka;2
12000000;1300;Sector 2 Dwarka;2
3600000;1050;Mundka;3
16000000;1750;Sector 19 Dwarka;3
35000000;2500;Sector 12 Dwarka;5
